 Region,CultureGroup,MacroPolity,PolID,Predecessor,Successor,Contested.1yr,Reign.Number.predecessor,Start.reign.predecessor,End.reign.Transition,Overturn,Assassination.Predecessor,Intra.elite,Military.revolt,Popular.uprising,Separatist.rebellion,External.invasion,External.interference,Conflict.name,Description,References,Zotero.URL
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Horus Aha / Meni (Menes),Djer,U*,1,-3000,U*,A,A,U*,U*,U*,U*,A,U*,,"Hor-Aha / Mene was the first king of Dynasty 1 and the founder of Memphis. According to Manetho, he reigned for 62 years before being killed by a hippopotamus. We have only fragmentary information about his successor, Djer's reign (Clayton 1994: 22). NB: following Alan Lloyd, no firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Morby and Rozier 2014) Morby, John E., and Charlie Rozier. 2014. Dynasties of the World. 2nd ed., online edition. Oxford: Oxford University Press. DOI: 10.1093/acref/9780191780073.001.0001. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/3C5IVS6E $ (Clayton 1994, 14-22) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Hetepsekhemwy,Raneb,U*,1,-2890,U*,U*,U*,U*,U*,U*,U*,A,U*,,"NB: following Alan Lloyd, no firm dates for the rulers of Dynasty 2 due to a lack of evidence. According to Ian Shaw (2000), the Dynasty spanned the period from 2890 to 2686 BCE.","(Clayton 1994, 26) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Bard 2000, 78-79) Bard, Kathryn. 2000. “The Emergence of the Egyptian State (3200-2686 BC).” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 61–88. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/V4NK84S7/q/bard $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Djer,Djet,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"We have only fragmentary information about both Djer and his successor, Djet (Clayton 1994: 22). Djet is known from his tomb (Tomb Z) at Abydos, but neither Clayton (1994) nor Bard (2000) give much information about his reign or any contestations of his power.","(Clayton 1994, 22) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P $ (Bard 2000) Bard, Kathryn. 2000. “The Emergence of the Egyptian State (3200-2686 BC).” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 61–88. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/V4NK84S7/q/bard.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Djet,Den / Udimu / Semti,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"Djet is known from his tomb (Tomb Z) at Abydos, but neither Clayton (1994) nor Bard (2000) give much information about his reign or any contestations of his power. NB: following Alan Lloyd, no firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Clayton 1994, 14, 22-23) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P $ (Bard 2000) Bard, Kathryn. 2000. “The Emergence of the Egyptian State (3200-2686 BC).” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 61–88. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/V4NK84S7/q/bard.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Den / Udimu / Semti,Queen Merneith,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"There is slightly more historical evidence for the reign of Den, who appears on the Palermo Stone. However, neither Clayton (1994) nor Bard (2000) give much information about his reign or any contestations of his power. His successor, Queen Merneith, is not listed in some king lists in secondary sources. NB: following Alan Lloyd, no firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Clayton 1994, 14, 23-24) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P $ (Bard 2000) Bard, Kathryn. 2000. “The Emergence of the Egyptian State (3200-2686 BC).” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 61–88. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/V4NK84S7/q/bard.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Queen Merneith,Anedjib,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"Anedjib's reign is not well known, but ""there is some evidence at this period of a dynastic struggle, of north versus south"" (Clayton 1994: 25). Not clear whether this took place during the transition period from Merneith to Anedjib. NB: following Alan Lloyd, no firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Clayton 1994, 14, 22-23) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Anedjib,Semerkhet,A;P,1,U*,U*,A;P,U*,A;P,U*,U*,U*,A,U*,,"It has been suggested that Anedjib's successor, Semerkhet, usurped the throne (Clayton 1994, 24-5). NB: following Alan Lloyd, I have not included firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Clayton 1994, 14, 24-25) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Semerkhet,Qa'a,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"Not much is known about the transition from Semerkhet to Qa'a. NB: following Alan Lloyd, no firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Clayton 1994, 14, 25) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Qa'a,Hetepsekhemwy,U*,1,U*,-2890,A*,A*,U*,U*,U*,U*,A,U*,,"""In 1991-2 the tomb of the last king of the 1st Dynasty, Qa'a, was re-excavated at Abydos by the German Archaeological Institute, and seal impressions of Hetepsekhemwy, the first king of the 2nd Dynasty, were found in it. The German archaeologists have interpreted this find as evidence that Hetepsekhemwy completed the tomb of his predecessor and that there was no break in the dynastic succession"" (Bard 2000: 78). However, Hetepsekhemwy means 'the peaceful one of the two powers', indicating that he may have come to power after a period of unrest (Williamson 2011). NB: following Alan Lloyd, no firm dates for the rulers of Dynasties 0 and 1 due to a lack of evidence. According to Ian Shaw, Dynasty 0 lasted from 3200 to 3000 BCE, and Dynasty 1 from 3000-2890 BCE.","(Clayton 1994, 14, 25-26) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Lloyd 2010) Lloyd, Alan B. 2010. “Chronology.” In A Companion to Ancient Egypt, edited by Alan B. Lloyd, 1:xxxii – xliii. Chichester: Wiley-Blackwell. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/R95E4VDR $ (Shaw 2000) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P $ (Williamson 2011) Williamson, Jacquelyn G. 2011. “The Early Dynastic Period in Egypt.” In World History Encyclopedia, edited by A. J. Andrea. Santa Barbara, CA: ABC-CLIO. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/U3Q2THMA.",
Upper Egypt,Pharaonic_Egypt,Early Dynastic Egypt,EgDyn1*,Raneb,Nynetjer,U*,1,U*,U*,U*,U*,U*,U*,U*,U*,A,U*,,"NB: following Alan Lloyd, no firm dates for the rulers of Dynasty 2 due to a lack of evidence. According to Ian Shaw (2000), the Dynasty spanned the period from 2890 to 2686 BCE.","(Clayton 1994, 26) Clayton, Peter A. 1994. Chronicle of the Pharaohs: The Reign-by-Reign Record of the Rulers and Dynasties of Ancient Egypt. London: Thames and Hudson. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/N9DP44W9 $ (Bard 2000, 78-79) Bard, Kathryn. 2000. “The Emergence of the Egyptian State (3200-2686 BC).” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 61–88. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/V4NK84S7/q/bard $ (Shaw 2000, 482) Shaw, Ian. 2000. “Chronology.” In The Oxford History of Ancient Egypt, edited by Ian Shaw, 480–89. Oxford: Oxford University Press. Seshat URL: https://www.zotero.org/groups/seshat_databank/items/itemKey/48FRNB9P",
